function_one_type,function_one_name,function_one_startline,function_one_endline,function_two_type,function_two_name,function_two_startline,function_two_endline,syntactic_type,similarity_line,similarity_token
selected,1952858.java,15,30,selected,2139695.java,35,50,3,0.8888888888888888,0.9507042253521126
selected,1952858.java,15,30,selected,2139695.java,18,33,3,0.9444444444444444,0.9929577464788732
selected,2078997.java,197,206,selected,2078997.java,284,294,3,0.9090909090909091,0.8405797101449275
selected,2078997.java,148,158,selected,2078997.java,197,206,3,0.8181818181818181,0.8169014084507042
selected,2078997.java,197,206,selected,2078997.java,233,242,3,0.9,0.9666666666666667
selected,2078997.java,49,57,selected,2078997.java,197,206,3,0.9,0.7758620689655172
selected,2078997.java,110,120,selected,2078997.java,197,206,3,0.9090909090909091,0.8405797101449275
selected,2299052.java,157,198,selected,440442.java,27,64,3,0.7058823529411764,0.9014492753623189
selected,2299052.java,157,198,selected,2299052.java,205,248,3,0.8867924528301887,0.9481268011527377
selected,2299052.java,157,198,selected,1394229.java,175,209,3,0.7254901960784313,0.7971014492753623
selected,2299052.java,157,198,selected,2535377.java,103,139,3,0.8431372549019608,0.9536231884057971
selected,1200879.java,213,224,selected,1318150.java,76,88,3,0.7142857142857143,0.7107438016528926
selected,2154817.java,36,47,selected,1318150.java,76,88,3,0.7142857142857143,0.743801652892562
selected,106425.java,72,83,selected,1318150.java,76,88,3,0.7142857142857143,0.7024793388429752
selected,2088201.java,65,75,selected,1318150.java,76,88,3,0.7142857142857143,0.6446280991735538
selected,2337215.java,43,54,selected,1318150.java,76,88,3,0.7142857142857143,0.743801652892562
selected,672942.java,51,55,selected,698710.java,195,199,3,0.8,0.9722222222222222
selected,672942.java,51,55,selected,723194.java,150,154,3,0.8,0.9722222222222222
selected,672942.java,51,55,selected,1256511.java,92,96,3,0.8,0.9722222222222222
selected,1478378.java,191,195,selected,672942.java,51,55,3,0.8,0.9722222222222222
selected,2126013.java,216,220,selected,672942.java,51,55,3,0.8,0.9722222222222222
selected,566527.java,189,193,selected,672942.java,51,55,3,0.8,0.9722222222222222
selected,282049.java,241,245,selected,672942.java,51,55,3,0.8,0.9722222222222222
selected,1543094.java,614,618,selected,672942.java,51,55,3,0.8,0.9722222222222222
selected,10730.java,1126,1152,selected,59218.java,768,794,3,0.8148148148148149,0.9698492462311558
selected,1494993.java,837,863,selected,59218.java,768,794,3,1,1
selected,59218.java,768,794,selected,925397.java,890,916,3,0.962962962962963,0.965
