function_one_type,function_one_name,function_one_startline,function_one_endline,function_two_type,function_two_name,function_two_startline,function_two_endline,syntactic_type,similarity_line,similarity_token
selected,2077739.java,747,755,selected,77754.java,849,857,1,1,1
selected,77754.java,849,857,selected,2455851.java,855,863,1,1,1
selected,77754.java,849,857,selected,499481.java,849,857,1,1,1
selected,77754.java,849,857,selected,591946.java,827,835,1,1,1
selected,406522.java,127,133,selected,1107815.java,166,172,1,1,1
selected,217680.java,219,225,selected,1107815.java,166,172,1,1,1
selected,1005846.java,194,200,selected,1107815.java,166,172,1,1,1
default,44695.java,27,46,default,133428.java,27,46,1,1,1
default,56674.java,27,46,default,44695.java,27,46,1,1,1
default,53920.java,27,46,default,44695.java,27,46,1,1,1
default,95679.java,27,46,default,44695.java,27,46,1,1,1
default,44695.java,27,46,default,123890.java,27,46,1,1,1
default,44695.java,27,46,default,36134.java,27,46,1,1,1
default,84365.java,27,46,default,44695.java,27,46,1,1,1
default,101871.java,27,46,default,44695.java,27,46,1,1,1
default,46089.java,27,46,default,44695.java,27,46,1,1,1
default,63225.java,27,46,default,44695.java,27,46,1,1,1
default,44695.java,27,46,default,12485.java,27,46,1,1,1
default,44695.java,27,46,default,82481.java,27,46,1,1,1
default,44695.java,27,46,default,47322.java,27,46,1,1,1
default,48067.java,27,46,default,44695.java,27,46,1,1,1
default,65489.java,27,46,default,44695.java,27,46,1,1,1
default,44695.java,27,46,default,25398.java,27,46,1,1,1
default,106370.java,27,46,default,44695.java,27,46,1,1,1
default,44695.java,27,46,default,116595.java,27,46,1,1,1
default,85308.java,27,46,default,44695.java,27,46,1,1,1
default,131657.java,27,46,default,44695.java,27,46,1,1,1
default,29717.java,27,46,default,44695.java,27,46,1,1,1
default,44695.java,27,46,default,131531.java,27,46,1,1,1
default,18314.java,27,46,default,44695.java,27,46,1,1,1
default,44695.java,27,46,default,41035.java,27,46,1,1,1
default,126732.java,27,46,default,44695.java,27,46,1,1,1
default,44695.java,27,46,default,118790.java,27,46,1,1,1
default,99202.java,27,46,default,44695.java,27,46,1,1,1
default,44695.java,27,46,default,100082.java,27,46,1,1,1
default,44695.java,27,46,default,23674.java,27,46,1,1,1
default,44695.java,27,46,default,89905.java,27,46,1,1,1
default,106736.java,27,46,default,44695.java,27,46,1,1,1
